"Pickup Shipping","Pickup Shipping"
"Enabled","Enabled"
"Title","Title"
"Allowed Provinces","Allowed States"
"Please select the provinces where this shipping method is available.","Please select the states where this shipping method is available."
"Pickup Shipping Method","Pickup Shipping Method"
"Shipping cost","Shipping Cost"
"Please enter a fixed shipping cost for the pickup method.","Enter a flat shipping rate for the pickup method."
"Invalid province selected.","Invalid state selected."
"Pickup location","Pickup Location"
