"Pickup Shipping","Expédition en Point de Retrait"
"Enabled","Activé"
"Title","Titre"
"Allowed Provinces","Régions Autorisées"
"Please select the provinces where this shipping method is available.","Veuillez sélectionner les régions où ce mode de livraison est disponible."
"Pickup Shipping Method","Mode de Livraison en Point de Retrait"
"Shipping cost","Frais de Livraison"
"Please enter a fixed shipping cost for the pickup method.","Veuillez entrer un tarif fixe pour la méthode de retrait."
"Invalid province selected.","Région sélectionnée non valide."
"Pickup location","Point de Retrait"
